,indicator_group,year,value,indicator_name,source_comment,country,indicator_units,source_name,category_name,sub_category
0,5th percentile,2010.0,3747.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
1,Weighted average,2010.0,5123.63,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
2,95th percentile,2010.0,8312.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
3,5th percentile,2011.0,2887.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
4,Weighted average,2011.0,4391.77,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
5,95th percentile,2011.0,8199.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
6,5th percentile,2012.0,2304.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
7,Weighted average,2012.0,3343.29,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
8,95th percentile,2012.0,7120.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
9,5th percentile,2013.0,1883.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
10,Weighted average,2013.0,2934.5,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
11,95th percentile,2013.0,5914.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
12,5th percentile,2014.0,1576.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
13,Weighted average,2014.0,2651.67,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
14,95th percentile,2014.0,5709.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
15,5th percentile,2015.0,1336.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
16,Weighted average,2015.0,2016.3,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
17,95th percentile,2015.0,4477.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
18,5th percentile,2016.0,1142.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
19,Weighted average,2016.0,1833.12,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
20,95th percentile,2016.0,3602.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
21,5th percentile,2017.0,928.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
22,Weighted average,2017.0,1585.96,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
23,95th percentile,2017.0,3324.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
24,5th percentile,2018.0,893.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
25,Weighted average,2018.0,1355.13,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
26,95th percentile,2018.0,3204.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
27,5th percentile,2019.0,797.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
28,Weighted average,2019.0,1119.58,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
29,95th percentile,2019.0,2632.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
30,5th percentile,2020.0,635.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
31,Weighted average,2020.0,983.28,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
32,95th percentile,2020.0,2601.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
33,5th percentile,2021.0,618.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
34,Weighted average,2021.0,917.06,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
35,95th percentile,2021.0,2095.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
36,5th percentile,2022.0,569.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
37,Weighted average,2022.0,876.4,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
38,95th percentile,2022.0,1878.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
39,,2010.0,7749.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
40,,2010.0,4104.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
41,,2010.0,6137.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
42,,2010.0,4157.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
43,,2010.0,5667.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
44,,2010.0,5811.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
45,,2010.0,,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
46,,2010.0,,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
47,,2010.0,10089.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
48,,2010.0,5241.0,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
49,,2010.0,,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
50,,2010.0,,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
51,,2010.0,6634.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
52,,2010.0,5142.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
53,,2010.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
54,,2011.0,7603.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
55,,2011.0,3816.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
56,,2011.0,6274.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
57,,2011.0,3306.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
58,,2011.0,3491.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
59,,2011.0,5446.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
60,,2011.0,6093.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
61,,2011.0,,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
62,,2011.0,6621.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
63,,2011.0,3661.0,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
64,,2011.0,,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
65,,2011.0,5522.0,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
66,,2011.0,5273.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
67,,2011.0,5039.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
68,,2011.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
69,,2012.0,5507.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
70,,2012.0,3076.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
71,,2012.0,5549.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
72,,2012.0,2627.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
73,,2012.0,3063.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
74,,2012.0,2884.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
75,,2012.0,4396.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
76,,2012.0,,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
77,,2012.0,2570.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
78,,2012.0,3016.0,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
79,,2012.0,,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
80,,2012.0,,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
81,,2012.0,3120.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
82,,2012.0,4955.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
83,,2012.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
84,,2013.0,3232.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
85,,2013.0,2375.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
86,,2013.0,3641.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
87,,2013.0,2252.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
88,,2013.0,3153.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
89,,2013.0,2284.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
90,,2013.0,3756.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
91,,2013.0,,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
92,,2013.0,2987.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
93,,2013.0,2591.0,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
94,,2013.0,,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
95,,2013.0,4501.0,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
96,,2013.0,2587.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
97,,2013.0,4392.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
98,,2013.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
99,,2014.0,3374.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
100,,2014.0,1978.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
101,,2014.0,2658.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
102,,2014.0,1795.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
103,,2014.0,2140.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
104,,2014.0,2212.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
105,,2014.0,3443.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
106,,2014.0,,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
107,,2014.0,2481.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
108,,2014.0,2598.0,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
109,,2014.0,,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
110,,2014.0,,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
111,,2014.0,2180.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
112,,2014.0,3237.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
113,,2014.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
114,,2015.0,2509.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
115,,2015.0,1528.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
116,,2015.0,1749.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
117,,2015.0,1436.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
118,,2015.0,1458.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
119,,2015.0,,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
120,,2015.0,2491.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
121,,2015.0,,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
122,,2015.0,2346.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
123,,2015.0,1340.0,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
124,,2015.0,,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
125,,2015.0,,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
126,,2015.0,1715.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
127,,2015.0,2885.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
128,,2015.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
129,,2016.0,2160.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
130,,2016.0,1384.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
131,,2016.0,1481.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
132,,2016.0,1303.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
133,,2016.0,1255.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
134,,2016.0,,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
135,,2016.0,2734.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
136,,2016.0,1287.0,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
137,,2016.0,2315.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
138,,2016.0,,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
139,,2016.0,1757.0,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
140,,2016.0,,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
141,,2016.0,1643.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
142,,2016.0,2492.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
143,,2016.0,2524.0,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
144,,2017.0,2211.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
145,,2017.0,1298.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
146,,2017.0,1391.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
147,,2017.0,1250.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
148,,2017.0,1252.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
149,,2017.0,1091.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
150,,2017.0,2480.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
151,,2017.0,1736.0,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
152,,2017.0,1774.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
153,,2017.0,,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
154,,2017.0,1410.0,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
155,,2017.0,1375.0,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
156,,2017.0,1421.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
157,,2017.0,2101.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
158,,2017.0,3219.0,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
159,,2018.0,1705.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
160,,2018.0,987.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
161,,2018.0,1205.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
162,,2018.0,1249.0,Utility-scale solar PV total installed cost,Figure 3.4,Germany,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
163,,2018.0,889.0,Utility-scale solar PV total installed cost,Figure 3.4,India,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
164,,2018.0,976.0,Utility-scale solar PV total installed cost,Figure 3.4,Italy,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
165,,2018.0,2357.0,Utility-scale solar PV total installed cost,Figure 3.4,Japan,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
166,,2018.0,1310.0,Utility-scale solar PV total installed cost,Figure 3.4,Netherlands,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
167,,2018.0,1488.0,Utility-scale solar PV total installed cost,Figure 3.4,Republic of Korea,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
168,,2018.0,,Utility-scale solar PV total installed cost,Figure 3.4,Spain,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
169,,2018.0,1353.0,Utility-scale solar PV total installed cost,Figure 3.4,Türkiye,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
170,,2018.0,1507.0,Utility-scale solar PV total installed cost,Figure 3.4,Ukraine,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
171,,2018.0,1528.0,Utility-scale solar PV total installed cost,Figure 3.4,United Kingdom,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
172,,2018.0,1737.0,Utility-scale solar PV total installed cost,Figure 3.4,United States,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
173,,2018.0,,Utility-scale solar PV total installed cost,Figure 3.4,Viet Nam,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
174,,2019.0,1403.0,Utility-scale solar PV total installed cost,Figure 3.4,Australia,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
175,,2019.0,891.0,Utility-scale solar PV total installed cost,Figure 3.4,China,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
176,,2019.0,1098.0,Utility-scale solar PV total installed cost,Figure 3.4,France,,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
