,Region,Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Poducer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
1780,Asia,Nepal,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,6.342,11.43
1781,Asia,Nepal,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,9.817,36.68
1782,Asia,Nepal,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,54.72
1783,Asia,Nepal,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2020.0,0.349,0.199
1784,Asia,Nepal,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2021.0,0.349,0.199
1785,Asia,Nepal,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2022.0,,0.199
1786,Asia,Pakistan,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022.0,,660
1787,Asia,Pakistan,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2020.0,85873,25880
1788,Asia,Pakistan,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2021.0,91696,25922
1789,Asia,Pakistan,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2022.0,,26732
1790,Asia,Pakistan,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2020.0,10541.5,1142
1791,Asia,Pakistan,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2021.0,14752.5,2287
1792,Asia,Pakistan,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2022.0,,3432
1793,Asia,Pakistan,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,Off-grid electricity,2020.0,,1.098
1794,Asia,Pakistan,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,Off-grid electricity,2021.0,,1.098
1795,Asia,Pakistan,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,Off-grid electricity,2022.0,,1.098
1796,Asia,Pakistan,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2020.0,18.944,8.65
1797,Asia,Pakistan,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2021.0,18.944,8.65
1798,Asia,Pakistan,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2022.0,,8.65
1799,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2020.0,2641.232,372
1800,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2021.0,2813.232,372
1801,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2022.0,,372
1802,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2020.0,143.664,41
1803,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2021.0,143.664,41
1804,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2022.0,,41
1805,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2020.0,35.04,10
1806,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2021.0,35.04,10
1807,Asia,Pakistan,Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2022.0,,10
1808,Asia,Pakistan,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,85.593,21.911
1809,Asia,Pakistan,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,81.873,21.911
1810,Asia,Pakistan,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,21.911
1811,Asia,Pakistan,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,39146,10021
1812,Asia,Pakistan,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,37444.5,10021
1813,Asia,Pakistan,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,10811
1814,Asia,Pakistan,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,22.551,15.661
1815,Asia,Pakistan,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,22.606,15.699
1816,Asia,Pakistan,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,15.699
1817,Asia,Pakistan,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,1002.09,837.91
1818,Asia,Pakistan,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,1142.21,1060.91
1819,Asia,Pakistan,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,1226.91
1820,Asia,Pakistan,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2020.0,0.272,0.155
1821,Asia,Pakistan,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2021.0,0.272,0.155
1822,Asia,Pakistan,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2022.0,,0.155
1823,Asia,Pakistan,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2020.0,2503.5,1235.7
1824,Asia,Pakistan,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2021.0,3480.5,1335
1825,Asia,Pakistan,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2022.0,,1435
1826,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020.0,58176.002,10944
1827,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021.0,62052.246,11669
1828,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022.0,,12441
1829,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Off-grid electricity,2020.0,332.418,
1830,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Off-grid electricity,2021.0,2939.181,
1831,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,19496.927,3452.5
1832,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,18675.444,3452.5
1833,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,3732
1834,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2020.0,,569.224
1835,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2021.0,,569.224
1836,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2022.0,,584.2999999999993
1837,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,2141.47,3667
1838,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,1616.378,3847
1839,Asia,Philippines (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,3931
1840,Asia,Philippines (the),Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2020.0,722,736
1841,Asia,Philippines (the),Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2021.0,722,736
1842,Asia,Philippines (the),Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2022.0,,736
1843,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2020.0,16.218,9.7
1844,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2021.0,16.218,9.7
1845,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2022.0,,7.9
1846,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,Off-grid electricity,2020.0,104.524,29.83
1847,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,Off-grid electricity,2021.0,104.524,29.83
1848,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,Off-grid electricity,2022.0,,29.83
1849,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2020.0,,16.79
1850,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2021.0,,16.79
1851,Asia,Philippines (the),Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2022.0,,17.79
1852,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2020.0,966.063,321.1
1853,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2021.0,879.752,321.1
1854,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2022.0,,354.5
1855,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Energy crops,On-grid electricity,2020.0,,24
1856,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Energy crops,On-grid electricity,2021.0,,24
1857,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Energy crops,On-grid electricity,2022.0,,24
1858,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2020.0,,9.46
1859,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2021.0,,9.46
1860,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2022.0,,9.26
1861,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2020.0,278.735,102.3
1862,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2021.0,268.719,108.3
1863,Asia,Philippines (the),Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2022.0,,189.8
1864,Asia,Philippines (the),Total Renewable,Geothermal energy,Geothermal energy,Geothermal energy,On-grid electricity,2020.0,10756.815,1928.1
1865,Asia,Philippines (the),Total Renewable,Geothermal energy,Geothermal energy,Geothermal energy,On-grid electricity,2021.0,10681.422,1928.1
1866,Asia,Philippines (the),Total Renewable,Geothermal energy,Geothermal energy,Geothermal energy,On-grid electricity,2022.0,,1932
1867,Asia,Philippines (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,72.296,30.595
1868,Asia,Philippines (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,85.843,30.595
1869,Asia,Philippines (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,28.425
1870,Asia,Philippines (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,6397.723,3013
1871,Asia,Philippines (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,8463.324,3016.4
1872,Asia,Philippines (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,3009
1873,Asia,Philippines (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,13.87,10.752
1874,Asia,Philippines (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,14.444,11.197
1875,Asia,Philippines (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,11.425
1876,Asia,Philippines (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,1372.604,1045.164
1877,Asia,Philippines (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,1469.55,1363.917
1878,Asia,Philippines (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,1611.446
1879,Asia,Philippines (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2020.0,38.471,16
1880,Asia,Philippines (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2021.0,47.586,16
1881,Asia,Philippines (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2022.0,,16
1882,Asia,Philippines (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2020.0,1026.45,426.9
1883,Asia,Philippines (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2021.0,1269.662,426.9
1884,Asia,Philippines (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2022.0,,426.9
1885,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020.0,206456,42413
1886,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021.0,208339,42897
1887,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022.0,,43687
1888,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,163074,42965
1889,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,190199,42996
1890,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,42514.31
1891,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,7294,3378
1892,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,8165,3292
1893,Asia,Republic of Korea (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,2053.13
1894,Asia,Republic of Korea (the),Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2020.0,160184,23250
1895,Asia,Republic of Korea (the),Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2021.0,158015,23250
1896,Asia,Republic of Korea (the),Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2022.0,,24650
1897,Asia,Republic of Korea (the),Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2020.0,4563,865
1898,Asia,Republic of Korea (the),Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2021.0,5764,1031.5
1899,Asia,Republic of Korea (the),Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2022.0,,987.245
1900,Asia,Republic of Korea (the),Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2020.0,3271,4700
1901,Asia,Republic of Korea (the),Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2021.0,3683,4700
1902,Asia,Republic of Korea (the),Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2022.0,,4700
1903,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2020.0,683,140
1904,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2021.0,623,142
1905,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2022.0,,142
1906,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Liquid biofuels,Other liquid biofuels,On-grid electricity,2020.0,1918,950
1907,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Liquid biofuels,Other liquid biofuels,On-grid electricity,2021.0,1444,487
1908,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Liquid biofuels,Other liquid biofuels,On-grid electricity,2022.0,,487
1909,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2020.0,163,91
1910,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2021.0,219,90.5
1911,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2022.0,,75.748
1912,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Solid biofuels,Other primary solid biofuels n.e.s.,On-grid electricity,2020.0,5534,2447
1913,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Solid biofuels,Other primary solid biofuels n.e.s.,On-grid electricity,2021.0,5220,2011
1914,Asia,Republic of Korea (the),Total Renewable,Bioenergy,Solid biofuels,Other primary solid biofuels n.e.s.,On-grid electricity,2022.0,,2366.968
1915,Asia,Republic of Korea (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,3877,1806
1916,Asia,Republic of Korea (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,3054,1841
1917,Asia,Republic of Korea (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,1812.423
1918,Asia,Republic of Korea (the),Total Renewable,Marine energy,Marine energy,Marine energy,On-grid electricity,2020.0,457,256
1919,Asia,Republic of Korea (the),Total Renewable,Marine energy,Marine energy,Marine energy,On-grid electricity,2021.0,455,256
1920,Asia,Republic of Korea (the),Total Renewable,Marine energy,Marine energy,Marine energy,On-grid electricity,2022.0,,255.58
1921,Asia,Republic of Korea (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,17967,17323
1922,Asia,Republic of Korea (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,23394,21264
1923,Asia,Republic of Korea (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,24078.145
1924,Asia,Republic of Korea (the),Total Renewable,Wind energy,Offshore wind energy,Offshore wind energy,On-grid electricity,2020.0,260.508,136
1925,Asia,Republic of Korea (the),Total Renewable,Wind energy,Offshore wind energy,Offshore wind energy,On-grid electricity,2021.0,251.095,136
1926,Asia,Republic of Korea (the),Total Renewable,Wind energy,Offshore wind energy,Offshore wind energy,On-grid electricity,2022.0,,136
1927,Asia,Republic of Korea (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2020.0,2890.492,1509
1928,Asia,Republic of Korea (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2021.0,2931.905,1588
1929,Asia,Republic of Korea (the),Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2022.0,,1772.459
1930,Asia,Singapore,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020.0,1385.5,438
1931,Asia,Singapore,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021.0,1555.4,438
1932,Asia,Singapore,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022.0,,438
1933,Asia,Singapore,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,47568.3,10777.3
1934,Asia,Singapore,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,49599.2,10769.3
1935,Asia,Singapore,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,10769
1936,Asia,Singapore,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,511.3,150
1937,Asia,Singapore,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,1076.8,150
1938,Asia,Singapore,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,150
1939,Asia,Singapore,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2020.0,1436.45,128.4
1940,Asia,Singapore,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2021.0,1291.05,128.4
1941,Asia,Singapore,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2022.0,,196.5
1942,Asia,Singapore,Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2020.0,1436.45,128.4
1943,Asia,Singapore,Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2021.0,1291.05,128.4
1944,Asia,Singapore,Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2022.0,,196.5
1945,Asia,Singapore,Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2020.0,389.5,70
1946,Asia,Singapore,Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2021.0,458.6,78
1947,Asia,Singapore,Total Renewable,Bioenergy,Solid biofuels,Other vegetal and agricultural waste,On-grid electricity,2022.0,,78
1948,Asia,Singapore,Total Renewable,Marine energy,Marine energy,Marine energy,On-grid electricity,2020.0,0.006,0.021
1949,Asia,Singapore,Total Renewable,Marine energy,Marine energy,Marine energy,On-grid electricity,2021.0,0.006,0.021
1950,Asia,Singapore,Total Renewable,Marine energy,Marine energy,Marine energy,On-grid electricity,2022.0,,0.021
1951,Asia,Singapore,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,353,332.5
1952,Asia,Singapore,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,517,487
1953,Asia,Singapore,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,571.6
1954,Asia,Singapore,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2020.0,0.35,0.1
1955,Asia,Singapore,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2021.0,0.35,0.1
1956,Asia,Singapore,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2022.0,,0.1
1957,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020.0,5754,900
1958,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021.0,5519,900
1959,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022.0,,900
1960,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Off-grid electricity,2020.0,40.131,
1961,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Off-grid electricity,2021.0,40.231,
1962,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,4179,1268
1963,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,2631,1087
1964,Asia,Sri Lanka,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,1087
1965,Asia,Sri Lanka,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2020.0,,5
1966,Asia,Sri Lanka,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2021.0,,5
1967,Asia,Sri Lanka,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2022.0,,5
1968,Asia,Sri Lanka,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2020.0,,0.08
1969,Asia,Sri Lanka,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2021.0,,0.085
1970,Asia,Sri Lanka,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2022.0,,0.085
1971,Asia,Sri Lanka,Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2020.0,,5
1972,Asia,Sri Lanka,Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2021.0,,5
1973,Asia,Sri Lanka,Total Renewable,Bioenergy,Renewable municipal waste,Renewable municipal waste,On-grid electricity,2022.0,,5
1974,Asia,Sri Lanka,Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2020.0,65.36,27.01
1975,Asia,Sri Lanka,Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2021.0,128.36,27.01
1976,Asia,Sri Lanka,Total Renewable,Bioenergy,Solid biofuels,Rice husks,On-grid electricity,2022.0,,27.01
1977,Asia,Sri Lanka,Total Renewable,Bioenergy,Solid biofuels,Wood fuel,On-grid electricity,2020.0,34.64,13
1978,Asia,Sri Lanka,Total Renewable,Bioenergy,Solid biofuels,Wood fuel,On-grid electricity,2021.0,34.64,13
1979,Asia,Sri Lanka,Total Renewable,Bioenergy,Solid biofuels,Wood fuel,On-grid electricity,2022.0,,13
1980,Asia,Sri Lanka,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,7.491,6.068
1981,Asia,Sri Lanka,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,7.491,6.068
1982,Asia,Sri Lanka,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,6.068
1983,Asia,Sri Lanka,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,4958,1793
1984,Asia,Sri Lanka,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,7208,1793
1985,Asia,Sri Lanka,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,1840
1986,Asia,Sri Lanka,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,11.527,7.895
1987,Asia,Sri Lanka,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,11.527,7.895
