,Region,Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Poducer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
43,Africa,Angola,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,2.069,1.457
44,Africa,Angola,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,1.457
45,Africa,Angola,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,284
46,Africa,Benin,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,1015.731,127
47,Africa,Benin,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,1015.731,127
48,Africa,Benin,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,127
49,Africa,Benin,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,324.565,174
50,Africa,Benin,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,324.565,174
51,Africa,Benin,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,174
52,Africa,Benin,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,0.072,0.5
53,Africa,Benin,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,0.072,0.5
54,Africa,Benin,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,0.5
55,Africa,Benin,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,2.795,1.54
56,Africa,Benin,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,0.294,1.54
57,Africa,Benin,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,1.54
58,Africa,Benin,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,2.543,1.4
59,Africa,Benin,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,2.543,1.4
60,Africa,Benin,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,26.4
61,Africa,Botswana,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Off-grid electricity,2020.0,32.5,25
62,Africa,Botswana,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Off-grid electricity,2021.0,32.5,25
63,Africa,Botswana,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Off-grid electricity,2022.0,,25
64,Africa,Botswana,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020.0,2175,732
65,Africa,Botswana,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021.0,2481,732
66,Africa,Botswana,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022.0,,732
67,Africa,Botswana,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,66,160
68,Africa,Botswana,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,66,160
69,Africa,Botswana,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,160
70,Africa,Botswana,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,4.044,2.365
71,Africa,Botswana,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,4.044,2.365
72,Africa,Botswana,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,2.365
73,Africa,Botswana,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,1.897,3.554
74,Africa,Botswana,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,2.084,3.904
75,Africa,Botswana,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,3.904
76,Africa,Burkina Faso,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,528.214,339.16
77,Africa,Burkina Faso,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,620.6,389.16
78,Africa,Burkina Faso,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,389.16
79,Africa,Burkina Faso,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2020.0,1,0.75
80,Africa,Burkina Faso,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2021.0,1,0.75
81,Africa,Burkina Faso,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2022.0,,0.75
82,Africa,Burkina Faso,Total Renewable,Bioenergy,Liquid biofuels,Other liquid biofuels,Off-grid electricity,2020.0,0.3,0.15
83,Africa,Burkina Faso,Total Renewable,Bioenergy,Liquid biofuels,Other liquid biofuels,Off-grid electricity,2021.0,0.3,0.15
84,Africa,Burkina Faso,Total Renewable,Bioenergy,Liquid biofuels,Other liquid biofuels,Off-grid electricity,2022.0,,0.15
85,Africa,Burkina Faso,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,7.516,2.6
86,Africa,Burkina Faso,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,7.516,2.6
87,Africa,Burkina Faso,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,2.6
88,Africa,Burkina Faso,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,112.393,32
89,Africa,Burkina Faso,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,127.5,32
90,Africa,Burkina Faso,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,32
91,Africa,Burkina Faso,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,31.2,19.261
92,Africa,Burkina Faso,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,34,21.011
93,Africa,Burkina Faso,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,21.011
94,Africa,Burkina Faso,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,57.152,35.387
95,Africa,Burkina Faso,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,63.6,35.387
96,Africa,Burkina Faso,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,65.387
97,Africa,Burundi,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,118.02,50.5
98,Africa,Burundi,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,175.59,50.5
99,Africa,Burundi,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,50.5
100,Africa,Burundi,Total Renewable,Bioenergy,Solid biofuels,Bagasse,Off-grid electricity,2020.0,5.548,4
101,Africa,Burundi,Total Renewable,Bioenergy,Solid biofuels,Bagasse,Off-grid electricity,2021.0,5.548,4
102,Africa,Burundi,Total Renewable,Bioenergy,Solid biofuels,Bagasse,Off-grid electricity,2022.0,,4
103,Africa,Burundi,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,7.723,1.603
104,Africa,Burundi,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,7.723,1.603
105,Africa,Burundi,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,1.603
106,Africa,Burundi,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,262.568,46.68
107,Africa,Burundi,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,262.568,46.68
108,Africa,Burundi,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,61.68
109,Africa,Burundi,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,2.64,1.7
110,Africa,Burundi,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,1.708,1.1
111,Africa,Burundi,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,1.1
