,country,year,value,indicator_name,indicator_topic,indicator_subtopic,indicator_group,source_description
0,Australia,2010,7749,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
1,China,2010,4104,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
2,France,2010,6137,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
3,Germany,2010,4157,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
4,India,2010,5667,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
5,Italy,2010,5811,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
6,Japan,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
7,Netherlands,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
8,Republic of Korea,2010,10089,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
9,Spain,2010,5241,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
10,Türkiye,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
11,Ukraine,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
12,United Kingdom,2010,6634,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
13,United States,2010,5142,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
14,Viet Nam,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
15,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
16,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
17,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
18,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
19,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
20,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
21,,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
22,Australia,2011,7603,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
23,China,2011,3816,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
24,France,2011,6274,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
25,Germany,2011,3306,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
26,India,2011,3491,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
27,Italy,2011,5446,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
28,Japan,2011,6093,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
29,Netherlands,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
30,Republic of Korea,2011,6621,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
31,Spain,2011,3661,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
32,Türkiye,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
33,Ukraine,2011,5522,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
34,United Kingdom,2011,5273,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
35,United States,2011,5039,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
36,Viet Nam,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
37,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
38,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
39,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
40,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
41,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
42,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
43,,2011,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
44,Australia,2012,5507,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
45,China,2012,3076,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
46,France,2012,5549,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
47,Germany,2012,2627,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
48,India,2012,3063,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
49,Italy,2012,2884,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
50,Japan,2012,4396,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
51,Netherlands,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
52,Republic of Korea,2012,2570,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
53,Spain,2012,3016,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
54,Türkiye,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
55,Ukraine,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
56,United Kingdom,2012,3120,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
57,United States,2012,4955,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
58,Viet Nam,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
59,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
60,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
61,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
62,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
63,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
64,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
65,,2012,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
66,Australia,2013,3232,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
67,China,2013,2375,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
68,France,2013,3641,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
69,Germany,2013,2252,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
70,India,2013,3153,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
71,Italy,2013,2284,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
72,Japan,2013,3756,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
73,Netherlands,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
74,Republic of Korea,2013,2987,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
75,Spain,2013,2591,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
76,Türkiye,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
77,Ukraine,2013,4501,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
78,United Kingdom,2013,2587,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
79,United States,2013,4392,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
80,Viet Nam,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
81,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
82,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
83,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
84,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
85,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
86,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
87,,2013,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
88,Australia,2014,3374,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
89,China,2014,1978,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
90,France,2014,2658,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
91,Germany,2014,1795,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
92,India,2014,2140,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
93,Italy,2014,2212,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
94,Japan,2014,3443,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
95,Netherlands,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
96,Republic of Korea,2014,2481,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
97,Spain,2014,2598,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
98,Türkiye,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
99,Ukraine,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
100,United Kingdom,2014,2180,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
101,United States,2014,3237,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
102,Viet Nam,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
103,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
104,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
105,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
106,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
107,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
108,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
109,,2014,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
110,Australia,2015,2509,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
111,China,2015,1528,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
112,France,2015,1749,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
113,Germany,2015,1436,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
114,India,2015,1458,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
115,Italy,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
116,Japan,2015,2491,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
117,Netherlands,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
118,Republic of Korea,2015,2346,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
119,Spain,2015,1340,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
120,Türkiye,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
121,Ukraine,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
122,United Kingdom,2015,1715,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
123,United States,2015,2885,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
124,Viet Nam,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
125,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
126,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
127,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
128,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
129,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
130,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
131,,2015,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
132,Australia,2016,2160,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
133,China,2016,1384,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
134,France,2016,1481,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
135,Germany,2016,1303,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
136,India,2016,1255,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
137,Italy,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
138,Japan,2016,2734,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
139,Netherlands,2016,1287,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
140,Republic of Korea,2016,2315,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
141,Spain,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
142,Türkiye,2016,1757,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
143,Ukraine,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
144,United Kingdom,2016,1643,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
145,United States,2016,2492,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
146,Viet Nam,2016,2524,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
147,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
148,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
149,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
150,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
151,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
152,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
153,,2016,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
154,Australia,2017,2211,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
155,China,2017,1298,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
156,France,2017,1391,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
157,Germany,2017,1250,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
158,India,2017,1252,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
159,Italy,2017,1091,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
160,Japan,2017,2480,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
161,Netherlands,2017,1736,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
162,Republic of Korea,2017,1774,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
163,Spain,2017,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
164,Türkiye,2017,1410,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
165,Ukraine,2017,1375,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
